MAT_whittaker,MAP_whittaker
26.4048,4380.5956
26.3433,4386.5955
26.2818,4392.5953
26.2211,4392.507
26.1597,4398.507
26.099,4398.4187
26.0375,4404.4186
25.9768,4404.3303
25.9162,4404.2421
25.8555,4404.1538
25.7948,4404.0655
25.7341,4403.9773
25.6735,4403.889
25.6128,4403.8007
25.5529,4397.6242
25.4922,4397.5361
25.4316,4397.4478
25.3717,4391.2713
25.311,4391.1831
25.2511,4385.0067
25.1913,4378.8303
25.1921,4372.7422
25.1322,4366.5657
25.0723,4360.3893
25.0731,4354.3012
25.0132,4348.1248
25.014,4342.0366
24.9542,4335.8601
24.955,4329.7721
24.9558,4323.6839
24.9566,4317.5958
24.9574,4311.5077
24.8975,4305.3312
24.8982,4299.2431
24.8991,4293.155
24.8999,4287.0668
24.8399,4280.8904
24.8408,4274.8023
24.8416,4268.7141
24.7816,4262.5377
24.7825,4256.4496
24.7833,4250.3614
24.7841,4244.2732
24.7243,4238.0969
24.725,4232.0087
24.7259,4225.9205
24.666,4219.7442
24.6667,4213.656
24.6676,4207.5678
24.6684,4201.4797
24.6085,4195.3033
24.6093,4189.2152
24.6101,4183.127
24.6109,4177.0389
24.551,4170.8625
24.5518,4164.7743
24.5526,4158.6862
24.4928,4152.5098
24.4936,4146.4216
24.4944,4140.3335
24.4952,4134.2453
24.4353,4128.0689
24.4361,4121.9808
24.4369,4115.8925
24.377,4109.7162
24.3778,4103.628
24.3179,4097.4517
24.3187,4091.3635
24.3195,4085.2753
24.2597,4079.099
24.2605,4073.0108
24.2612,4066.9226
24.2621,4060.8345
24.2022,4054.6581
24.203,4048.5699
24.2038,4042.4818
24.1439,4036.3054
24.1447,4030.2173
24.1455,4024.1291
24.0856,4017.9527
24.0864,4011.8646
24.0872,4005.7764
24.0274,3999.6
24.0282,3993.5119
24.029,3987.4237
24.0298,3981.3356
23.9699,3975.1592
23.9707,3969.071
23.9108,3962.8946
23.9116,3956.8065
23.9123,3950.7183
23.8525,3944.5419
23.8533,3938.4538
23.854,3932.3656
23.7943,3926.1892
23.7951,3920.1011
23.7959,3914.0129
23.736,3907.8365
23.7368,3901.7484
23.7376,3895.6602
23.6777,3889.4838
23.6785,3883.3957
23.6186,3877.2193
23.6194,3871.1311
23.5596,3864.9546
23.5604,3858.8666
23.5612,3852.7784
23.5013,3846.6019
23.5021,3840.5139
23.4422,3834.3375
23.443,3828.2493
23.4438,3822.1612
23.4445,3816.073
23.3847,3809.8965
23.3855,3803.8085
23.3256,3797.632
23.3265,3791.5439
23.3273,3785.4558
23.2674,3779.2793
23.2682,3773.1912
23.2083,3767.0148
23.2091,3760.9266
23.2099,3754.8385
23.15,3748.6621
23.1508,3742.5739
23.091,3736.3975
23.0918,3730.3094
23.0926,3724.2213
23.0327,3718.0448
23.0335,3711.9567
23.0343,3705.8686
22.9744,3699.6921
22.9752,3693.604
22.9153,3687.4276
22.9161,3681.3394
22.9169,3675.2513
22.8571,3669.0749
22.7972,3662.8984
22.798,3656.8103
22.7381,3650.6339
22.7389,3644.5457
22.7397,3638.4576
22.6798,3632.2812
22.6806,3626.1931
22.6208,3620.0167
22.6216,3613.9285
22.6223,3607.8404
22.5625,3601.664
22.5026,3595.4876
22.5034,3589.3994
22.5042,3583.3113
22.4443,3577.1349
22.4451,3571.0467
22.3853,3564.8702
22.3254,3558.6939
22.3262,3552.6058
22.327,3546.5175
22.2671,3540.3412
22.2679,3534.253
22.208,3528.0766
22.2088,3521.9885
22.2096,3515.9003
22.149,3515.8121
22.0891,3509.6357
22.0899,3503.5474
22.0907,3497.4594
22.0308,3491.283
22.0316,3485.1948
21.9717,3479.0184
21.9119,3472.842
21.9127,3466.7539
21.9135,3460.6657
21.8536,3454.4893
21.7936,3448.3129
21.7945,3442.2248
21.7953,3436.1366
21.7354,3429.9602
21.6756,3423.7838
21.6764,3417.6957
21.6165,3411.5192
21.5566,3405.3428
21.5574,3399.2547
21.4975,3393.0783
21.4983,3386.9901
21.4385,3380.8136
21.4393,3374.7256
21.3794,3368.5492
21.3801,3362.461
21.3203,3356.2846
21.2604,3350.1082
21.2006,3343.9318
21.2014,3337.8437
21.1415,3331.6673
21.1423,3325.5791
21.0824,3319.4027
21.0225,3313.2263
21.0233,3307.1381
20.9635,3300.9617
20.9643,3294.8736
20.9043,3288.6972
20.8445,3282.5208
20.7846,3276.3444
20.7854,3270.2562
20.7256,3264.0798
20.6657,3257.9034
20.6665,3251.8153
20.6066,3245.6388
20.5467,3239.4624
20.4868,3233.286
20.427,3227.1096
20.4278,3221.0215
20.3679,3214.8451
20.308,3208.6686
20.3088,3202.5805
20.2482,3202.4922
20.249,3196.4041
20.2498,3190.316
20.1891,3190.2277
20.1899,3184.1395
20.1292,3184.0513
20.0693,3177.8749
20.0095,3171.6985
20.0103,3165.6103
19.9504,3159.4339
19.8904,3153.2575
19.8913,3147.1694
19.8314,3140.9929
19.7708,3140.9047
19.7109,3134.7283
19.7117,3128.6401
19.6518,3122.4637
19.6526,3116.3756
19.5927,3110.1992
19.5328,3104.0228
19.4729,3097.8463
19.4131,3091.6699
19.3532,3085.4935
19.2933,3079.3171
19.2335,3073.1407
19.1736,3066.9643
19.1137,3060.7879
19.0538,3054.6115
18.994,3048.4351
18.9948,3042.3469
18.9348,3036.1705
18.875,3029.9941
18.8151,3023.8176
18.7553,3017.6413
18.6954,3011.4649
18.6347,3011.3766
18.6355,3005.2885
18.5748,3005.2002
18.5756,2999.1121
18.515,2999.0238
18.5158,2992.9357
18.4551,2992.8474
18.4559,2986.7591
18.396,2980.5828
18.3361,2974.4064
18.3369,2968.3183
18.2771,2962.1419
18.2164,2962.0536
18.1557,2961.9653
18.0958,2955.7889
18.036,2949.6125
17.9761,2943.4361
17.9162,2937.2597
17.917,2931.1716
17.8563,2931.0833
17.8571,2924.9952
17.7965,2924.9069
17.7973,2918.8187
17.7366,2918.7305
17.7374,2912.6423
17.6766,2912.5541
17.6168,2906.3777
17.557,2900.2013
17.4971,2894.0248
17.4372,2887.8484
17.3773,2881.672
17.378,2875.5838
17.3183,2869.4075
17.2584,2863.2311
17.1985,2857.0547
17.1386,2850.8782
17.0779,2850.79
17.0173,2850.7017
16.9574,2844.5253
16.9582,2838.4372
16.8975,2838.3489
16.8982,2832.2608
16.8376,2832.1724
16.8384,2826.0843
16.7778,2825.9961
16.7179,2819.8197
16.658,2813.6433
16.5981,2807.4668
16.5383,2801.2904
16.4784,2795.114
16.4184,2788.9376
16.3586,2782.7612
16.2988,2776.5848
16.2389,2770.4083
16.179,2764.232
16.1191,2758.0556
16.0585,2757.9673
15.9986,2751.7909
15.9994,2745.7027
15.9386,2745.6145
15.9395,2739.5263
15.8788,2739.4381
15.8796,2733.3498
15.819,2733.2617
15.8197,2727.1735
15.7591,2727.0853
15.6984,2726.9969
15.6385,2720.8206
15.5787,2714.6442
15.5188,2708.4678
15.4588,2702.2913
15.3982,2702.2031
15.3384,2696.0267
15.3392,2689.9385
15.2793,2683.7621
15.2186,2683.6739
15.1587,2677.4975
15.0988,2671.3211
15.039,2665.1446
14.979,2658.9682
14.9184,2658.88
14.8585,2652.7036
14.7987,2646.5272
14.7388,2640.3507
14.6789,2634.1743
14.6181,2634.0861
14.5584,2627.9097
14.4985,2621.7332
14.4386,2615.5568
14.3787,2609.3804
14.3189,2603.204
14.2582,2603.1158
14.1983,2596.9394
14.1384,2590.7629
14.0778,2590.6747
14.0179,2584.4983
13.958,2578.3219
13.8981,2572.1455
13.8383,2565.9689
13.7784,2559.7926
13.7177,2559.7044
13.6578,2553.528
13.5979,2547.3516
13.5381,2541.1751
13.4774,2541.0869
13.4175,2534.9104
13.3577,2528.7341
13.2978,2522.5577
13.2379,2516.3812
13.1772,2516.293
13.1173,2510.1166
13.0575,2503.9402
12.9968,2503.8519
12.9369,2497.6755
12.877,2491.499
12.8164,2491.4108
12.7565,2485.2344
12.6966,2479.058
12.6367,2472.8816
12.576,2472.7933
12.5162,2466.6169
12.4563,2460.4405
12.3956,2460.3522
12.3963,2454.2641
12.3366,2448.0877
12.2759,2447.9994
12.216,2441.823
12.1561,2435.6465
12.0955,2435.5583
12.0356,2429.3819
11.9757,2423.2055
11.915,2423.1173
11.8552,2416.9409
11.7953,2410.7644
11.7354,2404.588
11.6755,2398.4116
11.6149,2398.3234
11.555,2392.147
11.495,2385.9705
11.4344,2385.8822
11.3745,2379.7059
11.3139,2379.6176
11.254,2373.4412
11.1941,2367.2648
11.1342,2361.0884
11.0735,2361.0001
11.0137,2354.8237
10.9538,2348.6473
10.8931,2348.559
10.8333,2342.3826
10.7734,2336.2062
10.7127,2336.1179
10.6528,2329.9415
10.593,2323.7651
10.5323,2323.6768
10.4724,2317.5005
10.4125,2311.3241
10.3519,2311.2358
10.292,2305.0594
10.2321,2298.883
10.1722,2292.7066
10.1116,2292.6183
10.0517,2286.4419
9.9918,2280.2655
9.9311,2280.1772
9.8713,2274.0008
9.8114,2267.8244
9.7507,2267.7361
9.6907,2261.5596
9.631,2255.3833
9.5703,2255.2951
9.5104,2249.1186
9.4505,2242.9422
9.3906,2236.7658
9.33,2236.6776
9.2701,2230.5011
9.2094,2230.4129
9.1495,2224.2365
9.0897,2218.0601
9.029,2217.9718
8.9691,2211.7953
